GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons DbUtils,org.apache.commons.dbutils,ResultSetIterator,21,45,0,2,8,13,1,7,1,6
Apache Commons DbUtils,org.apache.commons.dbutils,QueryLoader,4,85,1,5,2,23,1,8,0,6
Apache Commons DbUtils,org.apache.commons.dbutils,DbUtils.DriverProxy,88,0,2,0,23,0,9,0,8,0
Apache Commons DbUtils,org.apache.commons.dbutils,BasicRowProcessor,5,94,3,5,1,24,3,9,1,7
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.new Callable() {...},0,27,0,0,0,2,0,2,0,2
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.new Callable() {...},0,22,0,0,0,2,0,2,0,2
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.new Callable() {...},0,27,0,0,0,2,0,2,0,2
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.new Callable() {...},0,26,0,0,0,2,0,2,0,2
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.new Callable() {...},0,31,0,0,0,2,0,2,0,2
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.new Callable() {...},0,21,0,0,0,2,0,2,0,2
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.new Callable() {...},0,26,0,0,0,2,0,2,0,2
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.new Callable() {...},0,21,0,0,0,2,0,2,0,2
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.new Callable() {...},0,26,0,0,0,2,0,2,0,2
Apache Commons DbUtils,org.apache.commons.dbutils,AbstractQueryRunner,144,431,11,43,35,126,14,35,3,19
Apache Commons DbUtils,org.apache.commons.dbutils,DbUtils,91,78,10,12,33,46,10,20,5,14
Apache Commons DbUtils,org.apache.commons.dbutils,BeanProcessor,145,393,10,46,28,94,10,34,0,16
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.BatchCallableStatement,54,0,2,0,15,0,3,0,2,0
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner.UpdateCallableStatement,53,0,2,0,15,0,3,0,2,0
Apache Commons DbUtils,org.apache.commons.dbutils,AsyncQueryRunner,29,206,0,0,4,28,3,20,3,20
